URL,Title,Name,Address,Building Size,Lot Size,Year Built,Construction,Water,Sewer,Heating,Gas,Sprinkler System,Year Built/Renovated,Truck Court,Lighting,Building Type,Building Height,Building Class,Typical Floor Size,Column Spacing,Sustainability,Unfinished Ceiling Height,Sale Type,Sale Condition,Property Type,Property Subtype,Tenancy,Building FAR,Land Acres,Percent Leased,Price,Price Per SF,Cap Rate,NOI,Loading Docks,Slab To Slab,Opportunity Zone,Sale Conditions,Construction Status,LoopNet Rating
https://www.loopnet.com/Listing/1055-Sandhill-Ave-Carson-CA/27935884/,"Carson, CA Industrial for Lease - 1055 Sandhill Ave","Carson, CA Industrial for Lease - 1055 Sandhill Ave","1055 Sandhill Ave, Carson, CA 90746","127,775 SF",4.54 AC,2024,,,,,,ESFR,,130’,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.loopnet.com/Listing/2154-W-Northwest-Hwy-Dallas-TX/27089104/,"Dallas, TX Flex, Industrial for Lease - 2154 W Northwest Hwy","Dallas, TX Flex, Industrial for Lease - 2154 W Northwest Hwy","2154 W Northwest Hwy, Dallas, TX 75220",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.loopnet.com/Listing/10525-10625-Newkirk-St-Dallas-TX/21892054/,"Dallas, TX Flex, Industrial for Lease - 10525-10625 Newkirk St","Dallas, TX Flex, Industrial for Lease - 10525-10625 Newkirk St","10525-10625 Newkirk St, Dallas, TX 75220",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.loopnet.com/Listing/2301-2329-E-Pacifica-Pl-Rancho-Dominguez-CA/32440056/,"Rancho Dominguez, CA Industrial for Lease - 2301-2329 E Pacifica Pl","Rancho Dominguez, CA Industrial for Lease - 2301-2329 E Pacifica Pl","2301-2329 E Pacifica Pl, Rancho Dominguez, CA 90220",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.loopnet.com/Listing/14512-14518-Garfield-Ave-Paramount-CA/25085787/,"Paramount, CA Industrial for Lease - 14512-14518 Garfield Ave","Paramount, CA Industrial for Lease - 14512-14518 Garfield Ave","14512-14518 Garfield Ave, Paramount, CA 90723",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.loopnet.com/Listing/2211-2nd-Ave-N-Lake-Worth-FL/19713203/,"Lake Worth, FL Office, Industrial for Lease - 2211 2nd Ave N","Lake Worth, FL Office, Industrial for Lease - 2211 2nd Ave N","2211 2nd Ave N, Lake Worth, FL 33461",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.loopnet.com/Listing/10105-W-Technology-Blvd-Dallas-TX/33192086/,"Dallas, TX Industrial for Lease - 10105 W Technology Blvd","Dallas, TX Industrial for Lease - 10105 W Technology Blvd","10105 W Technology Blvd, Dallas, TX 75220","20,678 SF",1.74 AC,1985,Masonry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.loopnet.com/Listing/712-740-W-Mockingbird-Ln-Dallas-TX/31302779/,"Dallas, TX Industrial for Lease - 712-740 W Mockingbird Ln","Dallas, TX Industrial for Lease - 712-740 W Mockingbird Ln","712-740 W Mockingbird Ln, Dallas, TX 75247","63,030 SF",2.10 AC,1961,Masonry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.loopnet.com/Listing/1698-N-Andrews-Ave-Pompano-Beach-FL/23175978/,"Pompano Beach, FL Industrial for Lease - 1698 N Andrews Ave","Pompano Beach, FL Industrial for Lease - 1698 N Andrews Ave","1698 N Andrews Ave, Pompano Beach, FL 33069","84,000 SF",6.14 AC,2025,Reinforced Concrete,,,,,ESFR,,120’,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.loopnet.com/Listing/4437-Supply-Ct-Austin-TX/16735466/,"Austin, TX Industrial for Lease - 4437 Supply Ct","Austin, TX Industrial for Lease - 4437 Supply Ct","4437 Supply Ct, Austin, TX 78744",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.loopnet.com/Listing/2445-2460-E-12th-St-Los-Angeles-CA/16372237/,"Los Angeles, CA Industrial for Lease - 2445-2460 E 12th St","Los Angeles, CA Industrial for Lease - 2445-2460 E 12th St","2445-2460 E 12th St, Los Angeles, CA 90021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.loopnet.com/Listing/10410-66th-St-N-Pinellas-Park-FL/21775373/,"Pinellas Park, FL Industrial for Lease - 10410 66th St N","Pinellas Park, FL Industrial for Lease - 10410 66th St N","10410 66th St N, Pinellas Park, FL 33782",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.loopnet.com/Listing/3333-S-120th-Pl-Tukwila-WA/15870689/,"Tukwila, WA Multiple Space Uses for Lease - 3333 S 120th Pl","Tukwila, WA Multiple Space Uses for Lease - 3333 S 120th Pl","3333 S 120th Pl, Tukwila, WA 98168",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.loopnet.com/Listing/950-990-Corporate-Woods-Pky-Vernon-Hills-IL/17702701/,"Vernon Hills, IL Multiple Space Uses for Lease - 950-990 Corporate Woods Pky","Vernon Hills, IL Multiple Space Uses for Lease - 950-990 Corporate Woods Pky","950-990 Corporate Woods Pky, Vernon Hills, IL 60061",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.loopnet.com/Listing/1235-Old-Alpharetta-Rd-Alpharetta-GA/25394488/,"Alpharetta, GA Flex, Industrial for Lease - 1235 Old Alpharetta Rd","Alpharetta, GA Flex, Industrial for Lease - 1235 Old Alpharetta Rd","1235 Old Alpharetta Rd, Alpharetta, GA 30005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.loopnet.com/Listing/19-Vreeland-Rd-Florham-Park-NJ/30841089/,"Florham Park, NJ Industrial for Lease - 19 Vreeland Rd","Florham Park, NJ Industrial for Lease - 19 Vreeland Rd","19 Vreeland Rd, Florham Park, NJ 07932","136,714 SF",14.45 AC,2025,,,,,,ESFR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.loopnet.com/Listing/West-Avenue-and-Wurzbach-Parkway-San-Antonio-TX/26517097/,"San Antonio, TX Industrial for Lease - West Avenue and Wurzbach Parkway","San Antonio, TX Industrial for Lease - West Avenue and Wurzbach Parkway","West Avenue and Wurzbach Parkway, San Antonio, TX 78216",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.loopnet.com/Listing/6070-N-Hollywood-Blvd-Las-Vegas-NV/25221021/,"Las Vegas, NV Industrial for Lease - 6070 N Hollywood Blvd","Las Vegas, NV Industrial for Lease - 6070 N Hollywood Blvd","6070 N Hollywood Blvd, Las Vegas, NV 89115","336,000 SF",18.00 AC,2024,Reinforced Concrete,,,,,ESFR,,135’,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.loopnet.com/Listing/410-Tradeport-Dr-Summerville-SC/23224003/,"Summerville, SC Industrial for Lease - 410 Tradeport Dr","Summerville, SC Industrial for Lease - 410 Tradeport Dr","410 Tradeport Dr, Summerville, SC 29486",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
